TYP_ACCNTNG_ITM_CODE,TYP_ACCNTNG_ITM_NAME,TYP_ACCNTNG_ITM_DESCRIPTION,MEMBER_ID,TYP_INSTRMNT_CODE,TYP_INSTRMNT_NAME,TYP_INSTRMNT_DESCRIPTION,TYP_INSTRMNT_MEMBER_ID,LDM_ENTITY_CODE,LDM_ENTITY_NAME,LINKED_ITEMS
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,329,Other than option,Other than option,TYP_INSTRMNT_329,,,
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,390,Option,"Options are derivative contracts between two parties to facilitate a potential transaction on the underlying security at a preset price, referred to as the strike price, prior to the expiration date.",TYP_INSTRMNT_390,BIRD_OTC_OPTN_LDM,Over the counter OTC Option,
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,390,Option,"Options are derivative contracts between two parties to facilitate a potential transaction on the underlying security at a preset price, referred to as the strike price, prior to the expiration date.",TYP_INSTRMNT_390,BIRD_EXCHNG_TRDBL_OPTN_LDM,Exchange_tradable_option,
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,51,Credit card debt,Credit card debt,TYP_INSTRMNT_51,BIRD_CRDT_CRD_DBT_LDM,Credit card debt,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,547,"Deposits other than current accounts (liabilities), repurchase agreements",,TYP_INSTRMNT_547,,,
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,549,Deposits,Deposits,TYP_INSTRMNT_549,BIRD_DPST_LDM,Deposits,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,670,Other financial liabilities,Other financial liabilities,TYP_INSTRMNT_670,,,
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,71,Trade receivables,Trade receivables as defined in paragraph 5.41(c) of part 2 of Annex V to Implementing Regulation (EU) No 680/2014.,TYP_INSTRMNT_71,BIRD_TRD_RCVBL_LDM,Trade receivable,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,80,Finance leases,Financial leases,TYP_INSTRMNT_80,BIRD_FNNCL_LS_LDM,Financial lease,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,910,Loan commitments given,Loan commitments given,TYP_INSTRMNT_910,BIRD_OTHR_CMMTMNT_LDM,Other commitment,BIRD_OFF_BLNC_SHT_ITM_GVN_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,920,Financial guarantees given,Financial guarantees given,TYP_INSTRMNT_920,BIRD_FNNCL_GRNT_INSTRMNT_LDM,Financial guarantee instrument,BIRD_PRTCTN_PRVDR_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,930,Other commitments given,Other commitments given,TYP_INSTRMNT_930,BIRD_OTHR_CMMTMNT_LDM,Other commitment,BIRD_OFF_BLNC_SHT_ITM_GVN_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,949,Off-balance sheet exposures subject to credit risk,Off-balance sheet exposures subject to credit risk,TYP_INSTRMNT_949,,,
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,950,Loan commitments received,Loan commitments received,TYP_INSTRMNT_950,BIRD_OTHR_CMMTMNT_LDM,Other commitment,ECB BIRD_OFF_BLNC_SHT_ITM_RCVD_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,960,Financial guarantees received,Financial guarantees received,TYP_INSTRMNT_960,BIRD_FNNCL_GRNT_INSTRMNT_LDM,Other commitment,ECB BIRD_OFF_BLNC_SHT_ITM_RCVD_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,970,Other commitments received,Other commitments received,TYP_INSTRMNT_970,BIRD_OTHR_CMMTMNT_LDM,Other commitment,ECB BIRD_OFF_BLNC_SHT_ITM_RCVD_INSTRMNT_LDM
